OTUID,rep_230,rep_230a,rep_272,rep_499,rep_500,rep_501,rep_505,rep_507,rep_508,rep_510,rep_511,rep_512,rep_513,rep_514,rep_515,rep_516,rep_517,rep_518,rep_520,rep_522,rep_523,rep_524,rep_527,rep_528,rep_529,rep_531,rep_532,rep_533,rep_534,rep_536,rep_537,rep_538,rep_542,rep_543,rep_545,rep_546,rep_549,rep_550,rep_552,rep_553,rep_554,rep_555,rep_559,rep_560,rep_561,rep_563,rep_564,rep_566,rep_568,rep_569,rep_570,rep_571,rep_572,rep_573,rep_574,rep_575,rep_576,rep_577,rep_580,rep_581,rep_583,rep_590,rep_591,rep_80,rep_82,rep_95,rep_EFE,ConsensusLineage
bbc33e330b03a294abd9591adcdd04f7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
f25505edbd301f8f2290fb8b6723412d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,422,0,8426,98,0,0,0,0,0,0,135,0,0,0,0,Eukaryota; Bacillariophyta; Mediophyceae; Thalassiosirales; Stephanodiscaceae; Stephanocyclus; Stephanocyclus meneghinianus
4821153cf288752e88cd4a6a2902a87a,0,0,0,0,0,0,0,1374,0,2603,6,3,0,0,37,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,1848,55,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,181,832,6,1040,373,7,0,0,13,0,0,186,0,0,0,0,Unassigned
e4049299ffd32a71fda329c6494c4051,815,0,11,28,0,0,24,140,206,213,70,25,0,169,157,0,0,67,0,0,0,0,0,0,0,11,0,17,0,0,67,627,0,0,0,0,0,0,64,0,0,0,45,0,0,28,0,0,0,19,0,4631,404,136,224,26,0,0,0,0,0,0,121,0,21,21,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Thalassiophysales; Catenulaceae; Amphora; Amphora pediculus
c72d7d3b9d8bcc5e6317a87bb324f625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
c07d61ac79f8fc73dabcc11a0992272e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
4ac127123b3c83eaf2c6059ece6288c0,175,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6758,0,0,0,0,0,44,0,0,16,0,30,0,23,43,53,0,85,0,138,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Fragilariophyceae; Fragilariales; Fragilariaceae; Ulnaria; Ulnaria ulna
c99c2d1eed48953db208e6cb6ddd6399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,0,0,0,696,0,75,0,0,0,0,0,0,0,0,4091,127,815,0,0,0,0,0,0,0,0,0,1173,0,0,0,29,0,0,0,0,0,0,Unassigned
bb2415aa6d1eeb82f70b32832268e7f7,0,0,0,0,0,0,0,111,1518,0,0,0,4659,28,152,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,40,0,52,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Achnanthidium; Achnanthidium minutissimum
fdeb3b78bdf15b176198416e16a164d8,6754,0,16,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Naviculales; Naviculaceae; Navicula; Navicula cryptotenella
dd6fb62ade8567f86f7b450e6ff06589,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,19,0,0,6305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,24,15,15,0,0,0,0,0,0,221,12,0,0,0,0,Eukaryota; Bacillariophyta; Fragilariophyceae; Fragilariales; Fragilariaceae; Staurosira; Staurosira construens
a17ee9fa32db22ddfbfe67fedb07fb21,0,0,0,0,0,0,0,0,6821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unassigned
390b2aba5ada163ecd86e35279442da5,0,0,0,0,0,0,0,0,0,0,0,0,234,0,1264,0,0,60,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,38,0,0,18,1847,62,330,2718,0,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Fragilariophyceae; Fragilariales; Fragilariaceae; Diatoma; Diatoma moniliformis
b1e257e4811ddc7fabc101d625930db3,0,0,0,0,676,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,73,7,15,0,934,0,0,0,0,0,0,0,0,0,1802,0,0,0,0,0,850,0,0,0,26,0,0,0,0,0,0,0,0,0,99,0,0,0,74,36,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Naviculales; Sellaphoraceae; Mayamaea; Mayamaea permitis
9089d56f827e59fceba6a474a79f3c16,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,4393,40,0,0,0,0,0,0,0,0,0,0,131,0,368,217,0,0,0,0,0,0,0,0,1167,0,0,0,0,0,47,0,0,0,0,60,0,107,0,0,0,0,0,45,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Cymbellales; Gomphonemataceae; Gomphonema; Gomphonema pumilum var. rigidum
c4152a17db0101cbad86ac8672b85b3d,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,64,0,11,0,0,0,0,40,96,0,0,0,0,115,1155,31,0,2692,0,0,0,593,0,108,0,0,109,0,0,43,137,618,0,0,0,0,121,212,0,0,0,0,0,50,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Achnanthales; Achnanthidiaceae; Planothidium; Planothidium victori
26fbfa1d4c93477864c3815d4858efd6,0,0,0,0,5564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,22,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,Eukaryota; Bacillariophyta; Bacillariophyceae; Naviculales; Sellaphoraceae; Fistulifera; Fistulifera saprophila
